Time sec,Extension in,Strain 1 %,Load lbf,Tensile stress ksi,Cycle Count ,Total Cycle Count ,Repetitions Count ,Segment ID ,Marked Data ,PIP Count ,Tensile extension in,Tensile strain %,Displacement (Strain 1) in,True strain %,Corrected Position in,Tenacity gf/tex,True stress psi
4.704,0.00078248,0.003372473,153.7967,87.88381,0,0,0,3204,0,0,3.37E-05,0.003372473,3.37E-05,0.003372416,0.00078248,697.61,87886.77
4.754,0.000790916,0.00340539,154.3078,88.1759,0,0,0,3204,0,0,3.41E-05,0.00340539,3.41E-05,0.003405332,0.000790916,699.9286,88178.9
4.804,0.000799353,0.003400063,154.8255,88.47169,0,0,0,3204,0,0,3.40E-05,0.003400063,3.40E-05,0.003400006,0.000799353,702.2766,88474.7
4.854,0.000807789,0.003473436,155.2827,88.73295,0,0,0,3204,0,0,3.47E-05,0.003473436,3.47E-05,0.003473376,0.000807789,704.3503,88736.03
4.904,0.000814117,0.003487535,155.6994,88.97109,0,0,0,3204,0,0,3.49E-05,0.003487535,3.49E-05,0.003487474,0.000814117,706.2407,88974.19
4.954,0.000822553,0.003616872,156.0791,89.18806,0,0,0,3204,0,0,3.62E-05,0.003616872,3.62E-05,0.003616807,0.000822553,707.963,89191.29
5.004,0.000830989,0.003678868,156.5299,89.44568,0,0,0,3204,0,0,3.68E-05,0.003678868,3.68E-05,0.003678801,0.000830989,710.0079,89448.97
5.054,0.000839426,0.003634222,157.0381,89.73608,0,0,0,3204,0,0,3.63E-05,0.003634222,3.63E-05,0.003634156,0.000839426,712.3131,89739.35
5.104,0.000847862,0.003729565,157.5201,90.01151,0,0,0,3204,0,0,3.73E-05,0.003729565,3.73E-05,0.003729496,0.000847862,714.4994,90014.86
5.154,0.000858408,0.00380942,158.0424,90.30997,0,0,0,3204,0,0,3.81E-05,0.00380942,3.81E-05,0.003809347,0.000858408,716.8685,90313.41
5.204,0.000866844,0.003737653,158.5267,90.58667,0,0,0,3204,0,0,3.74E-05,0.003737653,3.74E-05,0.003737583,0.000866844,719.065,90590.06
5.254,0.000875281,0.003841769,159.0243,90.871,0,0,0,3204,0,0,3.84E-05,0.003841769,3.84E-05,0.003841695,0.000875281,721.322,90874.49
5.304,0.000885826,0.003825555,159.5921,91.19551,0,0,0,3204,0,0,3.83E-05,0.003825555,3.83E-05,0.003825482,0.000885826,723.8978,91199
5.354,0.000894263,0.003842728,160.0617,91.46384,0,0,0,3204,0,0,3.84E-05,0.003842728,3.84E-05,0.003842655,0.000894263,726.0278,91467.36
5.404,0.000902699,0.00395031,160.5447,91.73982,0,0,0,3204,0,0,3.95E-05,0.00395031,3.95E-05,0.003950232,0.000902699,728.2185,91743.45
5.454,0.000909026,0.003916728,160.9903,91.99448,0,0,0,3204,0,0,3.92E-05,0.003916728,3.92E-05,0.003916651,0.000909026,730.2399,91998.08
5.504,0.000917463,0.003968972,161.4148,92.23701,0,0,0,3204,0,0,3.97E-05,0.003968972,3.97E-05,0.003968893,0.000917463,732.1652,92240.67
5.554,0.000925899,0.003879973,161.8437,92.48211,0,0,0,3204,0,0,3.88E-05,0.003879973,3.88E-05,0.003879897,0.000925899,734.1107,92485.7
5.604,0.000932227,0.003843374,162.2463,92.71216,0,0,0,3204,0,0,3.84E-05,0.003843375,3.84E-05,0.003843301,0.000932227,735.9368,92715.72
5.654,0.000940663,0.004017143,162.6444,92.93967,0,0,0,3204,0,0,4.02E-05,0.004017143,4.02E-05,0.004017062,0.000940663,737.7427,92943.4
5.704,0.0009491,0.003932863,163.1223,93.21275,0,0,0,3204,0,0,3.93E-05,0.003932863,3.93E-05,0.003932786,0.0009491,739.9104,93216.42
5.754,0.000959645,0.004060497,163.6269,93.5011,0,0,0,3204,0,0,4.06E-05,0.004060497,4.06E-05,0.004060415,0.000959645,742.1993,93504.9
5.804,0.000970191,0.004107532,164.1872,93.82124,0,0,0,3204,0,0,4.11E-05,0.004107532,4.11E-05,0.004107448,0.000970191,744.7405,93825.09
5.854,0.000978627,0.004098564,164.6985,94.11345,0,0,0,3204,0,0,4.10E-05,0.004098564,4.10E-05,0.00409848,0.000978627,747.0601,94117.31
5.904,0.000987064,0.004162968,165.1551,94.37436,0,0,0,3204,0,0,4.16E-05,0.004162968,4.16E-05,0.004162881,0.000987064,749.1311,94378.29
5.954,0.000993391,0.004148321,165.5678,94.61019,0,0,0,3204,0,0,4.15E-05,0.004148321,4.15E-05,0.004148235,0.000993391,751.0031,94614.11
6.004,0.001001827,0.004200076,165.9962,94.855,0,0,0,3204,0,0,4.20E-05,0.004200076,4.20E-05,0.004199988,0.001001827,752.9464,94858.98
6.054,0.001008155,0.004123883,166.4491,95.11375,0,0,0,3204,0,0,4.12E-05,0.004123883,4.12E-05,0.004123798,0.001008155,755.0003,95117.67
6.104,0.001016591,0.004138217,166.8636,95.35064,0,0,0,3204,0,0,4.14E-05,0.004138217,4.14E-05,0.004138131,0.001016591,756.8807,95354.58
6.154,0.001022918,0.004206459,167.2646,95.5798,0,0,0,3204,0,0,4.21E-05,0.00420646,4.21E-05,0.004206371,0.001022918,758.6997,95583.81
6.204,0.001031355,0.00423172,167.5826,95.76147,0,0,0,3204,0,0,4.23E-05,0.00423172,4.23E-05,0.00423163,0.001031355,760.1418,95765.52
6.254,0.001037682,0.004249089,168.0517,96.02956,0,0,0,3204,0,0,4.25E-05,0.004249089,4.25E-05,0.004248999,0.001037682,762.2699,96033.64
6.304,0.001046119,0.004296144,168.4661,96.26634,0,0,0,3204,0,0,4.30E-05,0.004296144,4.30E-05,0.004296051,0.001046119,764.1494,96270.48
6.354,0.001056664,0.004384751,169.0036,96.57347,0,0,0,3204,0,0,4.38E-05,0.004384751,4.38E-05,0.004384655,0.001056664,766.5874,96577.7
6.404,0.001065101,0.004386846,169.5163,96.86648,0,0,0,3204,0,0,4.39E-05,0.004386846,4.39E-05,0.00438675,0.001065101,768.9132,96870.73
6.454,0.001073537,0.004449723,169.9592,97.11953,0,0,0,3204,0,0,4.45E-05,0.004449723,4.45E-05,0.004449624,0.001073537,770.9219,97123.85
6.504,0.001084083,0.004452073,170.4672,97.40983,0,0,0,3204,0,0,4.45E-05,0.004452073,4.45E-05,0.004451974,0.001084083,773.2263,97414.17
6.554,0.001092519,0.004488025,171.0074,97.71851,0,0,0,3204,0,0,4.49E-05,0.004488025,4.49E-05,0.004487925,0.001092519,775.6766,97722.9
6.604,0.001103065,0.004460572,171.5402,98.02296,0,0,0,3204,0,0,4.46E-05,0.004460571,4.46E-05,0.004460472,0.001103065,778.0933,98027.34
6.654,0.001111501,0.004511895,172.0639,98.32224,0,0,0,3204,0,0,4.51E-05,0.004511895,4.51E-05,0.004511793,0.001111501,780.4689,98326.68
6.704,0.001117828,0.004565725,172.5471,98.59836,0,0,0,3204,0,0,4.57E-05,0.004565726,4.57E-05,0.004565621,0.001117828,782.6606,98602.86
6.754,0.001126265,0.004556091,172.9066,98.80376,0,0,0,3204,0,0,4.56E-05,0.004556092,4.56E-05,0.004555988,0.001126265,784.2912,98808.27
6.804,0.001134701,0.004585875,173.3824,99.07568,0,0,0,3204,0,0,4.59E-05,0.004585875,4.59E-05,0.00458577,0.001134701,786.4496,99080.23
6.854,0.001141029,0.004689286,173.8154,99.32309,0,0,0,3204,0,0,4.69E-05,0.004689286,4.69E-05,0.004689176,0.001141029,788.4135,99327.74
6.904,0.001149465,0.004608688,174.2456,99.56892,0,0,0,3204,0,0,4.61E-05,0.004608688,4.61E-05,0.004608582,0.001149465,790.3649,99573.51
6.954,0.001155792,0.004672015,174.6377,99.79299,0,0,0,3204,0,0,4.67E-05,0.004672015,4.67E-05,0.004671906,0.001155792,792.1435,99797.65
7.004,0.001164229,0.004652531,175.0468,100.0267,0,0,0,3204,0,0,4.65E-05,0.004652531,4.65E-05,0.004652423,0.001164229,793.9988,100031.4
7.054,0.001172665,0.004636768,175.5157,100.2947,0,0,0,3204,0,0,4.64E-05,0.004636768,4.64E-05,0.004636661,0.001172665,796.1257,100299.3
7.104,0.001181102,0.004627016,176,100.5714,0,0,0,3204,0,0,4.63E-05,0.004627016,4.63E-05,0.004626909,0.001181102,798.3225,100576.1
7.154,0.001191647,0.00465118,176.437,100.8212,0,0,0,3204,0,0,4.65E-05,0.00465118,4.65E-05,0.004651072,0.001191647,800.3049,100825.8
7.204,0.001200084,0.004718013,176.9407,101.109,0,0,0,3204,0,0,4.72E-05,0.004718013,4.72E-05,0.004717901,0.001200084,802.5898,101113.8
7.254,0.00120852,0.004741628,177.4013,101.3722,0,0,0,3204,0,0,4.74E-05,0.004741628,4.74E-05,0.004741516,0.00120852,804.679,101377
7.304,0.001214847,0.004727314,177.8172,101.6098,0,0,0,3204,0,0,4.73E-05,0.004727314,4.73E-05,0.004727202,0.001214847,806.5654,101614.6
7.354,0.001223284,0.004849798,178.2313,101.8465,0,0,0,3204,0,0,4.85E-05,0.004849798,4.85E-05,0.004849681,0.001223284,808.4437,101851.4
7.404,0.00123172,0.004816039,178.6446,102.0826,0,0,0,3204,0,0,4.82E-05,0.004816039,4.82E-05,0.004815923,0.00123172,810.3184,102087.6
7.454,0.001240157,0.004873335,179.1223,102.3556,0,0,0,3204,0,0,4.87E-05,0.004873335,4.87E-05,0.004873216,0.001240157,812.4854,102360.6
7.504,0.001248593,0.004917785,179.601,102.6292,0,0,0,3204,0,0,4.92E-05,0.004917786,4.92E-05,0.004917665,0.001248593,814.6566,102634.2
7.554,0.00125703,0.004936251,180.0678,102.8959,0,0,0,3204,0,0,4.94E-05,0.004936251,4.94E-05,0.004936129,0.00125703,816.7737,102900.9
7.604,0.001267575,0.00496063,180.5834,103.1905,0,0,0,3204,0,0,4.96E-05,0.004960631,4.96E-05,0.004960508,0.001267575,819.1126,103195.6
7.654,0.001276011,0.004963254,181.1143,103.4939,0,0,0,3204,0,0,4.96E-05,0.004963255,4.96E-05,0.004963131,0.001276011,821.5208,103499
7.704,0.001284448,0.00501311,181.582,103.7611,0,0,0,3204,0,0,5.01E-05,0.00501311,5.01E-05,0.005012984,0.001284448,823.6422,103766.3
7.754,0.001292884,0.005083056,182.0441,104.0252,0,0,0,3204,0,0,5.08E-05,0.005083056,5.08E-05,0.005082926,0.001292884,825.7383,104030.5
7.804,0.001301321,0.005076554,182.5507,104.3147,0,0,0,3204,0,0,5.08E-05,0.005076555,5.08E-05,0.005076426,0.001301321,828.0363,104320
7.854,0.001309757,0.005166944,182.9916,104.5666,0,0,0,3204,0,0,5.17E-05,0.005166944,5.17E-05,0.005166811,0.001309757,830.0359,104572
7.904,0.001318194,0.005191949,183.4464,104.8265,0,0,0,3204,0,0,5.19E-05,0.005191949,5.19E-05,0.005191814,0.001318194,832.099,104832
7.954,0.00132663,0.005125529,183.8369,105.0497,0,0,0,3204,0,0,5.13E-05,0.005125529,5.13E-05,0.005125397,0.00132663,833.8704,105055.1
8.004,0.001332957,0.005107572,184.309,105.3194,0,0,0,3204,0,0,5.11E-05,0.005107572,5.11E-05,0.005107442,0.001332957,836.0114,105324.8
8.054001,0.001341394,0.005198627,184.7318,105.561,0,0,0,3204,0,0,5.20E-05,0.005198627,5.20E-05,0.005198491,0.001341394,837.9294,105566.5
8.104,0.00134983,0.005179515,185.1975,105.8271,0,0,0,3204,0,0,5.18E-05,0.005179515,5.18E-05,0.005179381,0.00134983,840.0416,105832.6
8.154,0.001360376,0.005219892,185.6536,106.0878,0,0,0,3204,0,0,5.22E-05,0.005219893,5.22E-05,0.005219756,0.001360376,842.1105,106093.3
8.204,0.001368812,0.005257509,186.189,106.3937,0,0,0,3204,0,0,5.26E-05,0.005257509,5.26E-05,0.005257371,0.001368812,844.5392,106399.3
8.254001,0.001377249,0.00529448,186.714,106.6937,0,0,0,3204,0,0,5.29E-05,0.00529448,5.29E-05,0.00529434,0.001377249,846.9205,106699.4
8.304001,0.001385685,0.005386279,187.173,106.956,0,0,0,3204,0,0,5.39E-05,0.005386279,5.39E-05,0.005386134,0.001385685,849.0026,106961.8
8.354,0.001394122,0.005306836,187.6033,107.2019,0,0,0,3204,0,0,5.31E-05,0.005306836,5.31E-05,0.005306695,0.001394122,850.9542,107207.6
